"שם מפלגה","מספר מפלגה","מטרות","כתובת","דואר אלקטרוני","תאריך רישום",
"החזון","59-900150-0"," מטרות המפלגה: קידום ערכי חירות האדם במדינה יהודית ודמוקרטית, קידום חוקה למדינת ישראל.קידום וחיזוק ערכי ארץ ישראל והתיישבות ציונית, חיזוק מעמדה של ירושלים כבירתה של מדינת ישראל.קידום וחיזוק העלייה לארץ ישראל תוך כדי שמירה על צביונה היהודי של מדינת ישראל. מציאת כל הפתרונות הנחוצים לעולים חדשים בתחומי דיור, תעסוקה, חינוך, פנסיות לעולים וקידום קליטתם ההולם של העולים החדשים במערכות השונות במשק ישראלי.קידום וחיזוק ביטחונה של מדינת ישראל תוך כדי שינוי תפיסתי בנושאי הביטחון ושירות בצה~ל.קידום רפורמות ליברליות בתחומי חינוך, כלכלה, שיטת המיסוי, קידום זכויות עובדים עצמאיים, קידום התמיכה בחיילים משוחררים וסטודנטים, רפורמה פנסיונית, רפורמה בתחום הבריאות, קידום ההפרטה של חברות ממשלתיות, קידום הלגליזציה, רפורמות בתחום הקרקעות, הרגולציה ושיטות הבניה, קידום נושאי המסחר האלקטרוני, קידום פתיחת השווקים השונים לתחרות חופשית לטובת ציבור הצרכנים.קידום והידוק קשרי השלום עם מדינות העולם תוך כדי העצמת המעמד הבינלאומי של מדינת ישראל.קידום וחיזוק ערכי הערבות ההדדית בציבור הישראלי כבסיס לאחדות העם ודו-שיח בונה בחברה ישראלית.","רחוב הרב עוזיאל 25/45, באר שבע 8475322  (אצל: ציון אלון ת~ד 3291, באר שבע 8413201)","hazonparty@gmail.com","",
"הימין החילוני - בראשות רון קובי","59-900139-3","מטרות המפלגה: קידום הפריפריה הצפונית במדינת ישראל.קידום תחבורה ציבורית בשבת.קידום חקיקה בנושא גיוס חרדים לצה~ל ולשירות הלאומי במסגרת השוויון בנטל.המפלגה תשאף לקבל לידיה את משרד הפנים והמשרד לפיתוח הנגב והגליל, על מנת לבצע שינוי מהותי בסדרי העדיפויות ברשויות המקומיות ובפריפריה.המפלגה תפעל לביטול חוק המרכולים.המפלגה תפעל להקמת אוניברסיטה בגליל, באזור הכנרת.צמצום אי השוויון בתקצוב שירותים חברתיים וחיזוק הפריפריה הגיאוגרפית והחברתית.מחויבות להילחם על זכות היסוד לקורת גג קבועה ויציבה לאזרחי ישראל, תוך מציאת פתרונות דיור מגוונים וראויים לאוכלוסיות השונות. מאבק על הזכות לדיור ציבורי, בניה ציבורית והשקעות ממשלה לשיפור הדיור הציבורי הקיים במסגרות של התחדשות עירונית ופרויקטים של פינוי בינוי.השקעה בחינוך ככלי לצמצום פערים חברתיים שבכוחו ליצור שוויון הזדמנויות מהותי לכלל ילדי ישראל וחינוך למצוינות וליזמות, המפלגה תפעל לקידום החינוך הפורמלי והבלתי פורמלי בפריפריה, בדגש על תחומי ההייטק והיזמות.המפלגה תקדם חקיקה בנושא הערכות לרעידות אדמה, חיזוק מבנים והתחדשות עירונית לאורך כביש 90.תיקון עיוותים בשוק העבודה, תוך קידומם וחיזוקם של העסקים הקטנים והבינוניים.       ","מענה של המפלגה: שמעון דהאן 1 טבריה, מיקוד 14221","mailto:ron@baraka.co.il","",
"הישראלים","59-900085-8","מטרות המפלגה :1.קביעת שיטת הבחירה לכנסת המבוססת על בחירת רוב חברי הכנסת בשיטת בחירות אזורית ומיעוטם באמצעות שקלול קולות הבוחרים בשיטה ארצית יחסית, באופן שיאלץ את הנבחר לתת דין וחשבון לבוחריו באופן שוטף וישיר. 2.קביעת שיטת ממשל המבוססת על ממשלה יציבה ומצומצמת בה רוב השרים המכהנים הם אנשי מקצוע בתחומים עליהם הם ממונים ואינם בהכרח חברי כנסת. 3.הליך לגיבוש חוקה באמצעות ועדה מכוננת תוך קיום דיון ציבורי ואישורה הסופי במשאל עם. 4.לפחות מחצית מנציגי המפלגה בכנסת יהיו נשים. 5.פוליטיקה אינה מקצוע אלא שליחות, לכן תפורק המפלגה לכשיגיעו יעדיה לכלל מימוש.","תד 15400, בית זית. מיקוד: 90815","regevy@013net.il","",
"הכלכלית החדשה","59-900161-7","מטרות המפלגה: ביצור חוסנה הכלכלי של ישראל כדי להבטיח את חוסנה הביטחוני לאורך זמן.רפורמה מקיפה במשק הישראלי המושתתת על התכנית הכלכלית שגיבש יו~ר המפלגה.חתירה לצמיחה מהירה של המשק, שיפור עקבי ברמת החיים והקטנת רמת אי השוויון.הפחתת מיסים לשכירים, עסקים קטנים וצרכים וביטול הטבות המס לחברות ענק.התייעלות בשירות הציבורי, לרבות קביעת יעדים ומדדים וקשר בין סמכות לאחריות.פירוק מונופולים במשק וריסון קבוצות הלחץ לשם הורדת יוקר המחיה ומחירי הדיור.מאבק נחוש להשבת הערכים הדמוקרטיים כמו גם האיזון הראוי בין הרשויות.מאבק ללא פשרות בתופעת יחסי הון-שלטון ובשחיתות השלטונית.תיקון תוצאות הניהול הכושל של משבר הקורונה בידי הממשלה.השבת השליטה במשאבי הטבע מידי מעטים לידי הציבור.השבת האמון של הציבור במנהיגות הכלכלית.","רחוב הדס 7, רמת גן 5264707, אצל עורך דין פרופסור ירון זליכה","yaronzl@013.net","",
"הליכוד – תנועה לאומית ליברלית","59-900002-3","מטרות המפלגה :ריכוז העם היהודי בארץ-ישראל, קיבוץ גלויותיו ומיזוגו במולדת, טיפוח האהבה לארץ ישראל בלב העם וההכרה באחדות הגורל של בני העם היהודי.שמירת זכותו של העם היהודי על ארץ-ישראל כזכות נצחית שאינה ניתנת לערעור, התמדה ביישובם ובפיתוחם של כל חלקי ארץ-ישראל והחלת ריבונות המדינה עליהם.קיום ריבונות המדינה ובטחונה ושלום אמת עם שכנינו.השרשת ערכיה הנצחיים של מסורת ישראל בחינוך ובחיי המדינה, שמירת ערכי המוסר וטוהר המידות והקמת חברת איכות בארץ ישראל.קיום משטר ממלכתי-דמוקרטי במדינה: הבטחת עליונות החוק, זכויות האדם והאזרח, חופש מצפון, חרות הפרט, שיוויון זכויות והזדמנות כל אזרחי המדינה ומניעת כל אפלייה על רקע מין, גזע, עדה, דת, מעמד או השקפה.שילוב אוכלוסיית המיעוטים במערכות המדינה והתנועה.ביצורה הכלכלי של המדינה ויצירת תנאים נאותים לצמיחה כלכלית ולכינון משק חופשיתחרותי הנושא את עצמו והמבוסס שח יוזמה חופשית, והימנעות הממשלה, ככל הניתן, ממעורבות במשק.טיפוח וקידום ערי הפיתוח ושכונות המצוקה.אחריות ממלכתית לרמה סבירה של ביטחון הפרט, חינוך, בריאות, תעסוקה ואיכות הסביבה.","המלך ג'ורג' 38 תל אביב","mali@likud.org.il","",
"המחנה למען אזרחים ותיקי ישראל","59-900180-7","א. מהפך דרמטי במצבם ובמעמדם הכלכלי של האזרחים הוותיקים בישראלב. הגדלת קצבת האזרח הוותיק ל- 10,000 ₪ לחודש לפחותג. הכללת מלוא עלויות (100%) הטיפולים הסיעודיים בסל התרופותד. פטור מתשלום על תרופות לגילאי 67 ומעלה","רחוב מצדה 9 (מגדל ב.ס.ר. 3, קומה 35), בני ברק אצל עו~ד שי מרקוס","shay@markuslaw.co.il","2022",
"המפלגה הלאומית הערבית (אל חיזב אל קאומי אל ערבי)","59-900058-5","מטרות המפלגה :1.לפעול ולהיאבק בכל הדרכים החוקיים והדמוקרטים למען השגת שיוויון מלא בכל תחומי החיים לאוכלוסיה הערבית במדינת ישראל.2.קידום והעמקת השלום ודו-הקיום בין האוכלוסיה הערבית והעם במדינת ישראל.3.לפעול לקידום השלום בין מדינת ישראל לבין הרש~פ ובין מדינת ישראל לבין שכנותיה הערביות.4.לפעול למען חקיקת חוקה למדינת ישראל שתבטיח ותעגן זכויות האדם והאזרח הערבי במדינה.5.לפעול ולהיאבק בכל הדרכים החוקיים והדמוקרטיים למען ביסוס והעמקת זכויות האדם והאזרח ושמירתם במדינת ישראל.6.להיאבק בכל הדרכים החוקיים והדמוקרטיים נגד ההפליה מכל סוגיה והגזענות והאלימות על כל צורותיהם.7.לפעול בכל הדרכים החוקיים והדמוקרטיים לשמירת זכויות הקטינים, הנשים, הנכים וחסרי היכולת.8.לעודד את ההשכלה הגבוהה במגזר הערבי.9.השמירה על המקומות הקדושים ובמיוחד העברת השליטה על הוקף המוסלמי לידי נציגות מוסלמית נבחרת ע~י אזרחי ישראל המוסלמים.","ת~ד 26 סח'נין 20173","","",
"המפלגה הקומוניסטית הישראלית","59-900011-4","מטרות המפלגה :1.לפעול למען שלום ישראלי – ערבי צודק, כולל ויציב, שבמרכזו שלום ישראלי-לפסטיני על בסיס של שתי מדינות לשני עמים.2.לפעול למען מעמד הפועלים, כלל העובדים והשכבות העממיות בישראל, לפעול למען העלאת רמת החיים ולפיתוח הארץ לטובת כל תושביה היהודים והערבים.3.לפעול להבטחת עצמאותה המדינית וכלכלית של ישראל.4.להיאבק לשוויון זכויות אזרחי ולאומי של האוכלוסיה הערבית בישראל, להיאבק נגד כל תופעה של גזענות ולאומנות, להגנת זכויות האדם, להגנת החירויות הדמוקרטיות, לשוויון זכויות עדתי.5.להיאבק לשוויון זכויות האשה, להבטחת חופש המצפון ולביטוח כל צורה של כפיה דתית.6.לפעול לכינון חברה סוציאליסטית בישראל.","רח' בן גוריון 39, עכו ","","",
"הסתדרות אגודת ישראל בארץ ישראל","59-900009-8","מטרת המפלגה :לפתור ברוח התורה והמסורה את כל השאלות אשר תעלינה יום יום על הפרק בחיי כלל ישראל, בשאיפה לאחד את עם ישראל בארץ ישראל תחת שלטון התורה ולהשליט את התורה על החיים הרוחניים, הכלכליים, האזרחים והמדיניים בארץ ישראל.","ר' עקביא 57 בני ברק ת~ד 3138 מיקוד 51130","","",
"העצמאים החדשים - כוח חזק","59-900174-0","מטרות המפלגה הן:א. דמי קיום – חקיקת רשת ביטחון סוציאלית לעצמאים.ב. תיקוני חקיקה במוסד לביטוח לאומי בנוגע לזכויות בסיסיות לעצמאים ורפורמה ברשות המיסים.ג. הקלה ברגולציה לעסקים קטנים מול מוסדות השלטון.ד. הקמת מערך משפטי ללא עלות ע~י המדינה לסיוע לעסקים קטנים מול מוסדות השלטון.ה. צמצום הפערים החברתיים.ו. מהלכים למאבק ביוקר המחייה.ז. ביטול הדרישה להחזרי המענקים שניתנו ביתר בתקופת הקורונה.","רחוב דולב 75, מושב גאליה אצל יורם מועלמי","azmaim.party@gmail.com","",
"הפיראטים","59-900092-4","מטרות המפלגה :1.חופש הביטוי, המידע, הפרט, התנועה, ההפלגה וההעתקה2.צדק חברתי, רפואי, חינוכי ומקוון3.פיתוח וקידום המגזר הפיראטי","הלל 4 ירושלים, ת~ד 2901 ירושלים מיקוד 91028","","",
"הציונות החדשה – מפלגת העם","59-900071-8","מטרות המפלגה : עצמאות כלכלית ומדינית לישראלבטחון ופרנסה לכל משק ביתחיים בכבוד לניצולי השואה וצאצאיהם. ","","","",
"התנועה","59-900100-5","תאריך רישום:  ה' באלול תשע~ד, 31 באוגוסט 2014מטרות המפלגה הן:1. המפלגה הנה מפלגה הפועלת להגן ולשמור על ערכיה של מדינת ישראל, כמדינת הלאום של העם היהודי, כמדינה יהודית ודמוקרטית ,בצורה מאזנת ומשלבת בין ערכיה אלה .2. המפלגה תפעל לקידום וחיזוק הסכמי השלום הקיימים עם שכנותיה.3. המפלגה תפעל לקידום פתרון הסכסוך הישראלי- פלשתיני במתווה של שתי מדינות לשני עמים תוך שמירה על האינטרסים הלאומיים והביטחוניים של מדינת ישראל.4. המפלגה תפעל לצמצום הפערים בחברה הישראלית תוך שינוי סדרי עדיפויות בתחומי החינוך, הרווחה, הכלכלה, הדיור וביטחון הפנים.5. המפלגה תפעל למען חלוקה צודקת של הנטל בחברה הישראלית לרבות חתירה לעבר חברה שוויונית וצודקת יותר בנושאי דת, מדינה ומגדר.6. המפלגה תגן על הזכויות האזרחיות לרבות חופש הפרט.","רחוב הארבעה 8, תל אביב 6473908","","",
"התנועה הערבית להתחדשות","59-900025-4","מטרות המפלגה :1.המשך התמיכה בתהליך השלום הישראלי-פלסטיני בכדי להקים מדינה פלסטינית עצמאית לצד מדינת ישראל בגבולות יוני 1967 ובירתה מזרח ירושלים וכן פתרון בעיית הפליטים באופן צודק ע~פ החלטות מועצת הבטחון. במסלול הישראלי-סורי לדרוש ולהאבק למען נסיגה מלאה מרמת הגולן וחתימת הסכם שלום עם סוריה וכן נסיגה מלאה מדרום לבנון וחתימת הסכם שלום עם לבנון בכדי להגיע לשלום כולל ובר קיימא באזור.2.העלאת ושינוי המעמד החוקי והאזרחי של האזרח הערבי בישראל וצמצום הפערים בין הסקטור היהודי והערבי ע~י מדיניות ~העדפה מתקנת~ בכל התחומים ובכדי להגיע לשיוויון אמיתי בין המגזר הערבי והיהודי בכל תחומי החיים.3.שחרור הווקף האיסלמי וניהולו באופן עמצאי ע~י ועד נבחר ע~י המוסלמים.4.להאבק למען ביטול מס רכוש, הכרה בכפרים הלא מוכרים והחזרת עקורי אקרת וברעם לכפריהם ע~פ החלטת בג~ץ.5.טיפול בבעיות ומציאת פתרונות לבעיות האזרחים הערביים בנגב ובערים המעורבות.6.להשתתף באופן פעיל בתהליך קבלת ההחלטות במדינה. להשפיע ולקחת חלק בתהליך קבלת ההחלטות ועיצוב המדיניות.7.העלאת מעמד האשה הערביה בכל התחומים ע~י מדיניות של ~העדפה מתקנת~.","ת~ד 4539 טייבה המשולש 40400","mtibi1@gmail.com ;amcmails@gmail.com","",
"התקווה – מפלגה ציונית לאומית","59-900078-3","מטרות המפלגה :1.שמירת שלמותה של ארץ ישראל תחת שלטון העם היהודי. 2.נקיטת כל הצעדים המתחייבים מהצורך לבצר ולממש את זכותו של העם היהודי להתיישב בכל חלקי ארץ ישראל. 3מניעת הקמתה של כל ישות פוליטית – אוטונומית או ריבונית זרה בארץ ישראל המערבית. 4.לפעול למען יישובם מחדש של הפליטים הערבים בארצות ערב וארצות קולטות הגירה. 5.להתנות אזרחות בישראל בהצהרת אמונים למדינה כמדינתו של העם היהודי.6.לפעול למען כינון חוקה שתבטיח את אופייה היהודי-ציוני של מדינת ישראל.7.לפעול למען חיזוק הדמוקרטיה בישראל, חיזוק הכנסת כמוסד מחוקק ומפקח על פעולות הממשלה. 8.לקבוע מערכת איזונים ובלמים חדשה בין הרשות המחוקקת והרשות השופטת ומנגנון חדש בחירת שופטים.9.להיאבק בשחיתות על כל גילוייה בממשל בישראל, ושלטון האליטות על העם. 10.להגביל את התערבות המדינה בחיי האזרחים ורמיסת זכויות הפרט בידי הממשל.11.לספק שוויון הזדמנויות מלא לכל חלקי החברה בישראל.12.לפעול למען ליברליזציה של המשק בישראל, חיסול המונופולים הגלויים והסמויים,עידוד היוזמה הפרטית והעסקית על ידי מאבק בחסמים ביורוקראטיים.13.לפעול להורדת המיסוי בישראל ולקיצוץ בהוצאות הממשלה על ידי צמצום משמעותי של המגזר הציבורי.14.לפעול לארגונו מחדש של צה~ל ולתווית דרכו הציונית והמוסרית על ידי ניסוח הקוד האתי של צה~ל מחדש.15.לפעול ליצירת גשרים בין דתיים וחילוניים באורח של מיסודה של האמנה החברתית בניהם ועיגונה בהליכי חקיקה מתאימים.16.לפעול למען הגדלת השקעות המדינה במדע וטכנולוגיה.17.לפעול לחידוש התודעה הציונית, חיזוק הזהות הלאומית והדמוקראטית וחינוך לערכי היהדות ומורשת היהדות בקרב כל שכבות העם.18.לפעול להקמתם ולחיזוקם של ערוצי תקשורת מאוזנים שיבטאו כראוי את מגוון הדעות בציבוריות הישראלית.","ת.ד. 213 כפר אדומים מיקוד 90618","office@hatikva.org.il","",
"זהות - תנועה ישראלית יהודית","59-900106-2","מטרות המפלגה:1. מדינה יהודית -  מדינה החותרת למימוש הזהות והייעוד היהודי, וקיבוץ עם ישראל לארצו. מדינה העוברת מציונות של קיום, לציונות של ייעוד – מתודעת השרידות, לתודעה ואתגר של תיקון עולם.2. מדינת חירות  -  מדינה המשיבה את מירב החירות והאחריות לאזרח בכל התחומים ומצמצמת למינימום את מעורבותה בחיי הפרט. תחומי התערבותה של המדינה יוגבלו ככל הניתן למערכות המשפט, הביטחון והתשתיות הלאומיות.3. מדינת המשפחה והקהילה  - מדינה המבצרת את ערכי המשפחה ומעודדת את בניין הקהילה כאבני יסוד בבניין החברה.4.  מדינת שפע – מדינה המקיימת כלכלה חופשית בתוך המסגרת המרסנת והמעדנת של תרבות החסד והערבות ההדדית של עם ישראל.5. מדינה ריבונית -  מדינה המממשת ומבצרת את ריבונותה בכל חלקי ארץ ישראל שבשליטתה, ובראשם בירושלים והר הבית. מדינה המפתחת את ירושלים כמרכז מדיני ורוחני, לעם ישראל ולאנושות.6. מדינת שלום – מדינה החותרת לסיום מצב הלחימה ושפיכות הדמים באמצעות ניצחון על אויביה. מדינה הפועלת לטובת האנושות והעולם.","המלאכה 23, ראש העין.","zehut.mate@gmail.com","",
"זכויותנו בקולנו","59-900111-2","מטרות המפלגה:א. השוואת השכר, התנאים והפנסיה של שוטרים וסוהרים למשרתי הקבע בצה~ל.ב. חופש התאגדות לשוטרים וסוהרים.ג. העצמת מערכת המשפט וגופי האכיפה.ד. טיפול ומתן יחס הולם לנפגעי עבירה.ה. שיפור הטיפול בקשישים ונכים.","רחוב יאיר רוזנבלום 15, כפר סבא 4464627","zkeinat@gmail.com","",
"חוסן ישראל","59-900123-7","מטרות המפלגה: המשך ביסוס וחיזוק מדינת ישראל כמדינה יהודית ודמוקרטית לאור החזון הציוני כפי שבא לידי ביטוי במגילת העצמאות תוך קביעת ושינוי סדר העדיפויות הלאומי בנושאים הבאים: חינוך, פיתוח תשתיות לאומיות, חקלאות, חוק משפט ובטחון פנים, מדיניות רווחה, שלום ובטחון.","רח' ראול וולנברג 22א, תל אביב","mailto:mblaws@gmail.com","",
"חופש","59-900165-8","1. לקדם את הדמוקרטיה בישראל, להגן על מוסדותיה ולבער את השחיתות.2. לקדם חינוך איכותי, השכלה גבוהה, מדעים, תרבות ואומנויות.3. ביסוס ישראל כמדינה ליברלית וחופשית מכפיה דתית.","רחוב אחד העם 28, תל אביב מיקוד 6514107  אצל עו~ד דניאל חברוני","danielle@bnace.com","",
"חזית יהודית לאומית","59-900064-3","","אצל אתמר בן גביר: גבעת האבות 6 קריית ארבע מיקוד:90100","ibengvir333@gmail.com","",
"חירות – תנועה לאומית","59-900038-7","מטרות המפלגה :1.ארץ ישראל היא מולדתו של העם היהודי, בית לשבי ציון, המדינה תעודד עלייה וקליטתה ותפעל חיזוק החינוך היהודי בתפוצות. המדינה תעודד התיישבות יהודית בכל שטחי מדינת ישראל וארץ-ישראל. ירושלים, בירת הנצח, לא תחולק עוד.2.זכות העם היהודי על ארץ ישראל משולבת לבלי הפרד בזכות לשלום ולביטחון, לא יימסר שטח בארץ ישראל, לרבות ברמת הגולן לשלטון זר. המדינה תשאף להשיג הסכמי שלום עם כל שכנינו אך ךא על חשבון בטחון המדינה ותושביה.3.המדינה תקדם את השרשת ערכיה הנצחיים של תורת ישראל בחיי האומה.4.המדינה תגן על מהותה הדמוקרטית ותשמור על שיוויון זכויות לכל אזרחיה ותושביה תוך הקפדה על שלטון החוק. תכובד אי-תלות הרשות השופטת.5.תימשך חקיקת חוקי היסוד והרחבת זכויות האדם המוגנות על ידם, אך נושאי דת לא יכללו בהם אלא בהסכמה רחבה.6.אין כלכלה מתקדמת בלי צדק חברתי. המדינה תפעל להקטנת האבטלה והגברת התחרות במשק. המדינה תפעל לחיזוק השכבות החלשות וצמצום הפערים. המדינה תפעל ליישום זכותו של כל אדם למיצוי יכולתו וכשרונותיו ותעשה לעידוד אפשרויות ההשכלה לכל מיגזרי האוכלוסיה.","רח' המסגר 55 תל אביב","","",
"חץ - המפלגה החילונית הציונית","59-900024-7","מטרות המפלגה :1.לפעול להגברת תודעת העליה בישראל וליצירת אחדות בעם אודות נחיצותה, חיוניותה ותרומתה למשק ולחברה.2.לפעול ליצירת תנאים הולמים לקליטה מוצלחת בתחומי התעסוקה, הדיור, החינוך, הרווחה והחברה, תוך ניצול הפוטנציאל האינטלקטואלי, הטכנולוגי והמקצועי האדיר של העולים.3.לפעול לשילובם ולקידומם של נציגי העולים בממשלה, בכנסת, בהסתדרות, ברשויות המקומיות, בחברות הממשלתיות והציבוריות ובכל מוסדות המימשל של ישראל.4.לפעול להגברת החינוך היהודי בתפוצות להבטחת הזיקה לעם ישראל, למדינת ישראל, לתרבות ולדת היהודית.5.לפעול להשגת שלום בין ישראל לבין שכנותיה והעולם הערבי כולו, תוך שמירה על ביטחון המדינה ועל אינטרסיה החיוניים.","חיל המשמר 14, תל אביב 6969214 (אצל אברהם פורז)","","",
"יחד – בראשות אלי ישי","   59-900102-1","  מטרות המפלגה: 1.   המפלגה רואה את חשיבות ערכיה המסורתיים והיהודיים של היהדות בישראל.2.   המפלגה רואה את אהבת התורה, המדינה והארץ ערך מרכזי ועליון.3.   המפלגה תנהג על פי אמות מידה חברתיות ותשאף לצדק וטוהר ערכי.4.   המפלגה תפעל לאיחוד כל הזרמים בחברה הישראלית, לשם חיזוק הבטחון והרווחה של המדינה ולשם חיזוק ערכי היהדות.5.   המפלגה תפעל לחיזוק הקשרים של העם היהודי בעולם עם מדינת ישראל.","רחוב ז'בוטינסקי 33, רמת גן 52511 אצל עו~ד חגי אדורם","","",
"ייצוג שווה","59-900040-3","מטרות המפלגת :1.ייצוג שווה שכר שווה והזדמנויות שוות לנשים.2.ייצוג שווה בתהליכים המובילים לשלום ולמחויבות לקדמו.3.הצבת החינוך בראש סדר העדיפויות במטרה ליצור חברה שויונית וערכית.","השומרון 16 ת~ד 1409 אבן יהודה","","",
"ימין ישראל","59-900016-3","מטרות המפלגה :1.ישראל עם סגולה. העם היהודי כולו, לעדותיו, לדעותיו, למקומות מושבו ולדורותיו, עם אחד הוא.2.ארץ ישראל כולה של עם ישראל ושלו בלבד, ואין היא ניתנת לחלוקה.3.מורשת ישראל האמונית, המשפטית, התרבותית וההיסטורית אחת היא, ומתורת ישראל שואב עם ישראל את אחדותו וחיותו.4.מדינת ישראל היא מדינתו של עם ישראל, המדינה היהודית-ציונית, אשר תכליתה קיבוץ גלויות וחידוש הממלכתיות היהודית בארץ ישראל.5.החוקה והמשפט של מדינת ישראל יושתתו על המשפט העברי.6.הר הבית הוא ליבו של עם ישראל וכינון בית מקדשנו הוא יעד לאומי ראשון במעלה.","רח' בנימין מינץ 26/2, פתח תקוה מיקוד 49354","","",
"ימין ליברל","59-900170-8","א. מאבק לשמירה על אופייה הדמוקרטי, הלאומי והליברלי של מדינת ישראל - הבטחת עליונות שלטון החוק, כיבוד זכויות האדם והאזרח, כיבוד חירויות הפרט, ומאבק לשוויון זכויות, חובות והזדמנויות, לכל אזרחי המדינה ומניעת אפליה על רקע מין, נטייה מינית, גזע, עדה, דת ומעמד.ב. חתירה בלתי מתפשרת לביטחון מדינת ישראל ולשמירת שלמות גבולותיה, תוך ניסיון להגעה להסדרים מדיניים עם שכנותיה של המדינה ותוך מאבק בלתי מתפשר בטרור ויצירת קיר ברזל בטחוני.  ג. קידום חוקה למדינת ישראל.ד. קידום תיקונים בשיטת הבחירות והממשל על מנת לחזק ולבצר את משטרה הדמוקרטי והליברלי של מדינת ישראל.ה. הנחלת ערכים של שלטון החוק, טוהר המידות, שקיפות, יושרה, ניקיון כפיים ואתיקה במנגנוני השלטון המרכזי, השלטון המקומי ובשירות הציבורי, כמו גם מאבק בלתי מתפשר בשחיתות השלטונית הרווחת במדינת ישראל. ו. מאבק בלתי מתפשר בקשרי הון-שלטון, בפשע המאורגן, בהון השחור ובאלימות בכל מגזרי החברה. ז. קידום התחרות בשוק ובמשק תוך כדי מאבק בריכוזיות, במונופולים והורדת יוקר המחייה.ח. קידום משק ושוק חופשי, אשר יעודדו צמיחה כלכלית, משק תחרותי והגברת הפיריון, לצד רגישות חברתית והבטחת רשת ביטחון לחלשים בחברה, אשר תבטיח לכל אזרחי ישראל מינימום של חיים בכבוד. ט. מאבק למען שוויון זכויות וחובות בין כל אזרחי ישראל לרבות בנשיאה בנטל השירות הצבאי, תשלום המיסים ופריון בשוק העבודה, תוך קידום של שירות שוויוני לכל אזרחי המדינה ותושביה, בין אם  בשירות צבאי ובין אם בשירות אזרחי.י. מאבק למען אחריות ממלכתית לביטחון הפרט ולפרטיותו, לבריאות, לחינוך, לתחבורה ולאיכות סביבה.","רחוב התירוש 27, כפר שמואל אצל אהרון פימה","","",
"יעוד – ישראל עצמאית ודמוקרטית","59-900014-8","מטרות המפלגה :1.ריכוז העם היהודי בארץ ישראל, טיפוח אהבת ארץ ישראל.2.שמירת זכותו של העם היהודי על ארץ ישראל, זכות נצחית שאינה ניתנת לערעור, התמדה ביישובם ובפיתוחם של כל חלקי הארץ.3.קיום ריבונות המדינה ובטחונה.4.השרשת ערכיה הנצחיים של מסורת ארץ ישראל בחינוך ובחיי המדינה, שמירת ערכי המוסר וטוהר המידות והקמת חברת איכות בארץ ישראל.5.קיום משטר ממלכתי ממלכתי-דמוקרטי במדינה, הבטחת עליונות החוק, האדם והאזרח, חופש המצפון, חרות הפרט, שיוויון זכויות והזדמנות לכל אזרחי המדינה ומניעת אפליה על כל רקע מין, גזע, עדה, דת, מעמד או השקפה, הפרדת הדת מהמדינה.","בזל 31 תל אביב 62744","","",
"יש כיוון בראשות עמוס דב סילבר","59-900179-9","א. הסדרה מלאה של שוק הקנאביס בישראל.ב. העצמת חופש הפרט על-ידי הטמעת ערכי כבוד האדם וחירותו בחוק הישראלי.ג. הורדת יוקר המחיה ובדיור בפרט.ד. הגברת הביטחון האישי, הן מצד אויבים מבחוץ, הן בין האזרחים לבין עצמם והן מצד רשויות המדינה כלפי האזרח.ה. רפורמה במערכות אכיפת החוק והגברת הפיקוח על מערכת המשפט והפרקליטות.ו. צמצום מעורבות המדינה בכלכלה.ז. רפורמה בשירותים הממשלתיים לאזרח והתאמתם לעידן ההייטק.ח. חשיבה אקולוגית לטווח ארוך.ט. הקניית ערכי סובלנות ושפה בריאה במערכת החינוך.י. החזרת כח לאזרחים, הקמת מוסד משאל עם.","רחוב נחלת בנימין 52, תל אביב אצל עו~ד גיא בוסי","busy.adv@gmail.com","2022",
"יש עתיד – בראשות יאיר לפיד","59-900091-6","1. לבנות ולחזק את המרכז הציוני-ליברלי ככלי מרכזי לשימור מדינת ישראל כמדינה יהודית ודמוקרטית.2. לבנות את המפלגה כמפלגת שלטון בעלת תודעה היסטורית ומחויבות לאומית עמוקה.3. להגן על מערכת האיזונים והבלמים ההכרחית לקיומה של מדינת הלאום, לתת שיוויון זכויות אזרחי לכל תושב במדינה ולהתייצב מול כל קיצוניות.4. לשמור על זהותה היהודית של ישראל, ולהתנגד לכל כפיה. להיות מרכז רוחני ליהדות העולם.5. לחתור לשלום עם שכנינו, ובעיקר לשלום בתוכנו בין כל השבטים, העדות, הזרמים והדתות המרכיבים את החברה הישראלית.6. לחזק את שלטון החוק בישראל ולהילחם נגד כל תופעה של שחיתות שלטונית ונגד כל איום על מערכת המשפט הישראלית.7. להביא את ברכת הקידמה לישראל. לשמור ולקדם את ישראל כמדינה טכנולוגית, מתקדמת ומובילה עולמית בתחומי החדשנות.8. להעניק לכל ילד בישראל הזדמנות למצות את מלוא הפוטנציאל שלו ולפעול לצמצום הפערים בחברה הישראלית.שינוי מטרות המפלגה מיום 6.1.2022.","רח' יגאל אלון 157 (כניסה ב') תל אביב 67443","","",
